smiles,logP,qed,SAS,Canonical_SMILES,Random_SMILES_1,Random_SMILES_2,NonIsomeric_SMILES,Kekule_SMILES,SMILES_with_Hs,Branchless_SMILES,SMILES_2D
"O=C(Cc1ccc([N+](=O)[O-])cc1)NCC1(O)CCOCC1
",0.795,0.627478417747,2.29793175602539,O=C(Cc1ccc([N+](=O)[O-])cc1)NCC1(O)CCOCC1,C(Cc1ccc(cc1)[N+]([O-])=O)(NCC1(CCOCC1)O)=O,C(c1ccc([N+]([O-])=O)cc1)C(=O)NCC1(O)CCOCC1,O=C(Cc1ccc([N+](=O)[O-])cc1)NCC1(O)CCOCC1,O=C(CC1=CC=C([N+](=O)[O-])C=C1)NCC1(O)CCOCC1,[O]=[C]([CH2][c]1[cH][cH][c]([N+](=[O])[O-])[cH][cH]1)[NH][CH2][C]1([OH])[CH2][CH2][O][CH2][CH2]1,O=CCc1ccc[N+]=O[O-]cc1NCC1OCCOCC1,O=C(Cc1ccc([N+](=O)[O-])cc1)NCC1(O)CCOCC1
"C=CCOc1ccc(CNc2ccc(OC)cc2)cc1
",3.8721,0.7489757241539999,1.6899972277521798,C=CCOc1ccc(CNc2ccc(OC)cc2)cc1,c1c(OCC=C)ccc(CNc2ccc(OC)cc2)c1,C(c1ccc(OCC=C)cc1)Nc1ccc(cc1)OC,C=CCOc1ccc(CNc2ccc(OC)cc2)cc1,C=CCOC1=CC=C(CNC2=CC=C(OC)C=C2)C=C1,[CH2]=[CH][CH2][O][c]1[cH][cH][c]([CH2][NH][c]2[cH][cH][c]([O][CH3])[cH][cH]2)[cH][cH]1,C=CCOc1cccCNc2cccOCcc2cc1,C=CCOc1ccc(CNc2ccc(OC)cc2)cc1
"C[C@H]1N=C(CCNC(=O)CCC2=c3ccccc3=[NH+]C2)CS1
",-0.6286,0.7654386981119999,4.495171860798424,C[C@H]1N=C(CCNC(=O)CCC2=c3ccccc3=[NH+]C2)CS1,C(=O)(CCC1C[NH+]=c2c=1cccc2)NCCC1=N[C@H](C)SC1,c1cc2c(=C(CCC(=O)NCCC3=N[C@H](C)SC3)C[NH+]=2)cc1,CC1N=C(CCNC(=O)CCC2=c3ccccc3=[NH+]C2)CS1,C[C@H]1N=C(CCNC(=O)CCC2=C3C=CC=CC3=[NH+]C2)CS1,[CH3][C@H]1[N]=[C]([CH2][CH2][NH][C](=[O])[CH2][CH2][C]2=[c]3[cH][cH][cH][cH][c]3=[NH+][CH2]2)[CH2][S]1,C[C@H]1N=CCCNC=OCCC2=c3ccccc3=[NH+]C2CS1,C[C@H]1N=C(CCNC(=O)CCC2=c3ccccc3=[NH+]C2)CS1
"COC(=O)c1cc(NC(=O)[C@@H]2CCO[C@H]2C)ccc1C
",2.14512,0.8627686280679999,2.958599770457824,COC(=O)c1cc(NC(=O)[C@@H]2CCO[C@H]2C)ccc1C,[C@H]1(C(=O)Nc2ccc(c(c2)C(OC)=O)C)[C@H](C)OCC1,C1O[C@@H](C)[C@H](C(=O)Nc2ccc(c(C(=O)OC)c2)C)C1,COC(=O)c1cc(NC(=O)C2CCOC2C)ccc1C,COC(=O)C1=CC(NC(=O)[C@@H]2CCO[C@H]2C)=CC=C1C,[CH3][O][C](=[O])[c]1[cH][c]([NH][C](=[O])[C@@H]2[CH2][CH2][O][C@H]2[CH3])[cH][cH][c]1[CH3],COC=Oc1ccNC=O[C@@H]2CCO[C@H]2Cccc1C,COC(=O)c1cc(NC(=O)[C@@H]2CCO[C@H]2C)ccc1C
"COc1ccccc1[C@@H](C)NC(=O)c1cnc2c(C)cccn2c1=O
",2.50252,0.792866996564,2.5753241972058927,COc1ccccc1[C@@H](C)NC(=O)c1cnc2c(C)cccn2c1=O,c1ccc(c(c1)[C@H](NC(c1c(=O)n2c(c(ccc2)C)nc1)=O)C)OC,Cc1cccn2c1ncc(c2=O)C(N[C@H](C)c1ccccc1OC)=O,COc1ccccc1C(C)NC(=O)c1cnc2c(C)cccn2c1=O,COC1=CC=CC=C1[C@@H](C)NC(=O)C1=CN=C2C(C)=CC=CN2C1=O,[CH3][O][c]1[cH][cH][cH][cH][c]1[C@@H]([CH3])[NH][C](=[O])[c]1[cH][n][c]2[c]([CH3])[cH][cH][cH][n]2[c]1=[O],COc1ccccc1[C@@H]CNC=Oc1cnc2cCcccn2c1=O,COc1ccccc1[C@@H](C)NC(=O)c1cnc2c(C)cccn2c1=O
"CC[C@@H](C)NS(=O)(=O)c1cc(N2C(=O)[C@@H](C)CS2(=O)=O)ccc1OC
",1.0845,0.788742947931,3.276728218236036,CC[C@@H](C)NS(=O)(=O)c1cc(N2C(=O)[C@@H](C)CS2(=O)=O)ccc1OC,O=S(=O)(N[C@H](C)CC)c1c(ccc(N2C(=O)[C@@H](C)CS2(=O)=O)c1)OC,S1(N(C(=O)[C@H](C1)C)c1ccc(OC)c(S(=O)(N[C@@H](CC)C)=O)c1)(=O)=O,CCC(C)NS(=O)(=O)c1cc(N2C(=O)C(C)CS2(=O)=O)ccc1OC,CC[C@@H](C)NS(=O)(=O)C1=CC(N2C(=O)[C@@H](C)CS2(=O)=O)=CC=C1OC,[CH3][CH2][C@@H]([CH3])[NH][S](=[O])(=[O])[c]1[cH][c]([N]2[C](=[O])[C@@H]([CH3])[CH2][S]2(=[O])=[O])[cH][cH][c]1[O][CH3],CC[C@@H]CNS=O=Oc1ccN2C=O[C@@H]CCS2=O=Occc1OC,CC[C@@H](C)NS(=O)(=O)c1cc(N2C(=O)[C@@H](C)CS2(=O)=O)ccc1OC
"CC(C)(C)NS(=O)(=O)c1ccc(OCC(=O)N2CCOCC2)cc1
",1.001,0.862769398055,2.068895741052956,CC(C)(C)NS(=O)(=O)c1ccc(OCC(=O)N2CCOCC2)cc1,c1(ccc(cc1)S(NC(C)(C)C)(=O)=O)OCC(=O)N1CCOCC1,c1c(ccc(OCC(=O)N2CCOCC2)c1)S(=O)(=O)NC(C)(C)C,CC(C)(C)NS(=O)(=O)c1ccc(OCC(=O)N2CCOCC2)cc1,CC(C)(C)NS(=O)(=O)C1=CC=C(OCC(=O)N2CCOCC2)C=C1,[CH3][C]([CH3])([CH3])[NH][S](=[O])(=[O])[c]1[cH][cH][c]([O][CH2][C](=[O])[N]2[CH2][CH2][O][CH2][CH2]2)[cH][cH]1,CCCCNS=O=Oc1cccOCC=ON2CCOCC2cc1,CC(C)(C)NS(=O)(=O)c1ccc(OCC(=O)N2CCOCC2)cc1
"COCCCNC(=O)[C@H]1CN(C(=O)c2cccs2)CC12CCCCC2
",2.9233,0.782882554085,3.501016993399974,COCCCNC(=O)[C@H]1CN(C(=O)c2cccs2)CC12CCCCC2,C(OC)CCNC([C@H]1CN(CC21CCCCC2)C(c1sccc1)=O)=O,N1(CC2([C@@H](C(=O)NCCCOC)C1)CCCCC2)C(c1cccs1)=O,COCCCNC(=O)C1CN(C(=O)c2cccs2)CC12CCCCC2,COCCCNC(=O)[C@H]1CN(C(=O)C2=CC=CS2)CC12CCCCC2,[CH3][O][CH2][CH2][CH2][NH][C](=[O])[C@H]1[CH2][N]([C](=[O])[c]2[cH][cH][cH][s]2)[CH2][C]12[CH2][CH2][CH2][CH2][CH2]2,COCCCNC=O[C@H]1CNC=Oc2cccs2CC12CCCCC2,COCCCNC(=O)[C@H]1CN(C(=O)c2cccs2)CC12CCCCC2
"Cc1nc(-n2cccc2)sc1C(=O)Nc1cccc(-c2cn3ccsc3n2)c1
",4.87072,0.443746830322,2.617988595319323,Cc1nc(-n2cccc2)sc1C(=O)Nc1cccc(-c2cn3ccsc3n2)c1,Cc1c(sc(n1)-n1cccc1)C(Nc1cccc(c1)-c1nc2n(ccs2)c1)=O,c1cc(NC(=O)c2sc(-n3cccc3)nc2C)cc(-c2nc3sccn3c2)c1,Cc1nc(-n2cccc2)sc1C(=O)Nc1cccc(-c2cn3ccsc3n2)c1,CC1=C(C(=O)NC2=CC=CC(C3=CN4C=CSC4=N3)=C2)SC(N2C=CC=C2)=N1,[CH3][c]1[n][c](-[n]2[cH][cH][cH][cH]2)[s][c]1[C](=[O])[NH][c]1[cH][cH][cH][c](-[c]2[cH][n]3[cH][cH][s][c]3[n]2)[cH]1,Cc1nc-n2cccc2sc1C=ONc1cccc-c2cn3ccsc3n2c1,Cc1nc(-n2cccc2)sc1C(=O)Nc1cccc(-c2cn3ccsc3n2)c1
"CC[S@](=O)[C@H]1CCCC[C@@H]1NC(=O)NC[C@H](O)c1ccco1
",1.692,0.746849311287,3.9318644550018895,CC[S@](=O)[C@H]1CCCC[C@@H]1NC(=O)NC[C@H](O)c1ccco1,C1CCC[C@H](NC(=O)NC[C@H](O)c2ccco2)[C@H]1[S@@](=O)CC,C1[C@@H]([C@H](CCC1)[S@@](=O)CC)NC(=O)NC[C@@H](c1ccco1)O,CCS(=O)C1CCCCC1NC(=O)NCC(O)c1ccco1,CC[S@](=O)[C@H]1CCCC[C@@H]1NC(=O)NC[C@H](O)C1=CC=CO1,[CH3][CH2][S@](=[O])[C@H]1[CH2][CH2][CH2][CH2][C@@H]1[NH][C](=[O])[NH][CH2][C@H]([OH])[c]1[cH][cH][cH][o]1,CC[S@]=O[C@H]1CCCC[C@@H]1NC=ONC[C@H]Oc1ccco1,CC[S@](=O)[C@H]1CCCC[C@@H]1NC(=O)NC[C@H](O)c1ccco1
"Cc1cc2ncn(C[C@H]3CC3(Cl)Cl)c2cc1C
",3.84694,0.7332046057639999,3.09974824807764,Cc1cc2ncn(C[C@H]3CC3(Cl)Cl)c2cc1C,n1cn(c2c1cc(c(C)c2)C)C[C@H]1CC1(Cl)Cl,C(n1cnc2cc(c(cc21)C)C)[C@@H]1C(Cl)(Cl)C1,Cc1cc2ncn(CC3CC3(Cl)Cl)c2cc1C,CC1=CC2=C(C=C1C)N(C[C@H]1CC1(Cl)Cl)C=N2,[CH3][c]1[cH][c]2[n][cH][n]([CH2][C@H]3[CH2][C]3([Cl])[Cl])[c]2[cH][c]1[CH3],Cc1cc2ncnC[C@H]3CC3ClClc2cc1C,Cc1cc2ncn(C[C@H]3CC3(Cl)Cl)c2cc1C
"Cc1ccccc1OCC(=O)O[C@@H](C)c1nccs1
",3.13472,0.7772178560690001,2.6331750913669527,Cc1ccccc1OCC(=O)O[C@@H](C)c1nccs1,c1csc(n1)[C@@H](OC(=O)COc1c(C)cccc1)C,[C@@H](OC(=O)COc1ccccc1C)(c1nccs1)C,Cc1ccccc1OCC(=O)OC(C)c1nccs1,CC1=CC=CC=C1OCC(=O)O[C@@H](C)C1=NC=CS1,[CH3][c]1[cH][cH][cH][cH][c]1[O][CH2][C](=[O])[O][C@@H]([CH3])[c]1[n][cH][cH][s]1,Cc1ccccc1OCC=OO[C@@H]Cc1nccs1,Cc1ccccc1OCC(=O)O[C@@H](C)c1nccs1
"C[C@H](C(=O)N1CCOCC1)[NH+]1CCN(Cc2ccc3c(c2)OCO3)CC1
",-0.6369,0.8054787229960001,3.7168993620024526,C[C@H](C(=O)N1CCOCC1)[NH+]1CCN(Cc2ccc3c(c2)OCO3)CC1,N1(CC[NH+]([C@@H](C(=O)N2CCOCC2)C)CC1)Cc1cc2c(cc1)OCO2,c1(CN2CC[NH+]([C@@H](C(N3CCOCC3)=O)C)CC2)cc2OCOc2cc1,CC(C(=O)N1CCOCC1)[NH+]1CCN(Cc2ccc3c(c2)OCO3)CC1,C[C@H](C(=O)N1CCOCC1)[NH+]1CCN(CC2=CC=C3OCOC3=C2)CC1,[CH3][C@H]([C](=[O])[N]1[CH2][CH2][O][CH2][CH2]1)[NH+]1[CH2][CH2][N]([CH2][c]2[cH][cH][c]3[c]([cH]2)[O][CH2][O]3)[CH2][CH2]1,C[C@H]C=ON1CCOCC1[NH+]1CCNCc2ccc3cc2OCO3CC1,C[C@H](C(=O)N1CCOCC1)[NH+]1CCN(Cc2ccc3c(c2)OCO3)CC1
"CCN(C(=O)[C@@H]1Cc2ccccc2S1)[C@H]1CCC[C@@H]1C[NH3+]
",1.9625,0.92933085638,4.13438514688627,CCN(C(=O)[C@@H]1Cc2ccccc2S1)[C@H]1CCC[C@@H]1C[NH3+],c1ccc2c(S[C@H](C(=O)N([C@@H]3[C@@H](C[NH3+])CCC3)CC)C2)c1,C1CC[C@@H]([C@H]1N(CC)C(=O)[C@H]1Sc2c(cccc2)C1)C[NH3+],CCN(C(=O)C1Cc2ccccc2S1)C1CCCC1C[NH3+],CCN(C(=O)[C@@H]1CC2=CC=CC=C2S1)[C@H]1CCC[C@@H]1C[NH3+],[CH3][CH2][N]([C](=[O])[C@@H]1[CH2][c]2[cH][cH][cH][cH][c]2[S]1)[C@H]1[CH2][CH2][CH2][C@@H]1[CH2][NH3+],CCNC=O[C@@H]1Cc2ccccc2S1[C@H]1CCC[C@@H]1C[NH3+],CCN(C(=O)[C@@H]1Cc2ccccc2S1)[C@H]1CCC[C@@H]1C[NH3+]
"Cc1cc(Br)ccc1NC(=O)[C@@H](C)[NH+](C)Cc1cccs1
",2.86092,0.8299919494310001,3.788040158797324,Cc1cc(Br)ccc1NC(=O)[C@@H](C)[NH+](C)Cc1cccs1,c1cc(NC([C@@H](C)[NH+](C)Cc2sccc2)=O)c(C)cc1Br,c1(ccc(cc1C)Br)NC(=O)[C@H]([NH+](Cc1sccc1)C)C,Cc1cc(Br)ccc1NC(=O)C(C)[NH+](C)Cc1cccs1,CC1=CC(Br)=CC=C1NC(=O)[C@@H](C)[NH+](C)CC1=CC=CS1,[CH3][c]1[cH][c]([Br])[cH][cH][c]1[NH][C](=[O])[C@@H]([CH3])[NH+]([CH3])[CH2][c]1[cH][cH][cH][s]1,Cc1ccBrccc1NC=O[C@@H]C[NH+]CCc1cccs1,Cc1cc(Br)ccc1NC(=O)[C@@H](C)[NH+](C)Cc1cccs1
"COC(=O)[C@H]1CCC[C@H]1NC(=O)Nc1ccc(C)cc1C
",2.76664,0.836364739171,2.753097453227033,COC(=O)[C@H]1CCC[C@H]1NC(=O)Nc1ccc(C)cc1C,C1CC[C@H]([C@H]1C(OC)=O)NC(Nc1c(C)cc(C)cc1)=O,[C@@H]1(C(=O)OC)[C@H](NC(=O)Nc2c(C)cc(C)cc2)CCC1,COC(=O)C1CCCC1NC(=O)Nc1ccc(C)cc1C,COC(=O)[C@H]1CCC[C@H]1NC(=O)NC1=CC=C(C)C=C1C,[CH3][O][C](=[O])[C@H]1[CH2][CH2][CH2][C@H]1[NH][C](=[O])[NH][c]1[cH][cH][c]([CH3])[cH][c]1[CH3],COC=O[C@H]1CCC[C@H]1NC=ONc1cccCcc1C,COC(=O)[C@H]1CCC[C@H]1NC(=O)Nc1ccc(C)cc1C
"CC(C)NS(=O)(=O)c1ccc(C(=O)N[C@H](C)c2ccccc2Br)cc1
",3.6268,0.723313348839,2.3861029496299384,CC(C)NS(=O)(=O)c1ccc(C(=O)N[C@H](C)c2ccccc2Br)cc1,N([C@H](C)c1ccccc1Br)C(=O)c1ccc(cc1)S(=O)(=O)NC(C)C,c1(c([C@H](NC(c2ccc(S(NC(C)C)(=O)=O)cc2)=O)C)cccc1)Br,CC(C)NS(=O)(=O)c1ccc(C(=O)NC(C)c2ccccc2Br)cc1,CC(C)NS(=O)(=O)C1=CC=C(C(=O)N[C@H](C)C2=CC=CC=C2Br)C=C1,[CH3][CH]([CH3])[NH][S](=[O])(=[O])[c]1[cH][cH][c]([C](=[O])[NH][C@H]([CH3])[c]2[cH][cH][cH][cH][c]2[Br])[cH][cH]1,CCCNS=O=Oc1cccC=ON[C@H]Cc2ccccc2Brcc1,CC(C)NS(=O)(=O)c1ccc(C(=O)N[C@H](C)c2ccccc2Br)cc1
"CC(C)OCCN1CCN(C(=O)Nc2ccccc2C(F)(F)F)CC1
",3.2799,0.862762711906,2.14484320942079,CC(C)OCCN1CCN(C(=O)Nc2ccccc2C(F)(F)F)CC1,c1(NC(N2CCN(CC2)CCOC(C)C)=O)c(cccc1)C(F)(F)F,FC(F)(c1ccccc1NC(=O)N1CCN(CCOC(C)C)CC1)F,CC(C)OCCN1CCN(C(=O)Nc2ccccc2C(F)(F)F)CC1,CC(C)OCCN1CCN(C(=O)NC2=CC=CC=C2C(F)(F)F)CC1,[CH3][CH]([CH3])[O][CH2][CH2][N]1[CH2][CH2][N]([C](=[O])[NH][c]2[cH][cH][cH][cH][c]2[C]([F])([F])[F])[CH2][CH2]1,CCCOCCN1CCNC=ONc2ccccc2CFFFCC1,CC(C)OCCN1CCN(C(=O)Nc2ccccc2C(F)(F)F)CC1
"CCn1cc(-c2nc(-c3cccc(Cl)c3)no2)c(=O)c2ccccc21
",4.3918,0.525491603736,2.19866277463818,CCn1cc(-c2nc(-c3cccc(Cl)c3)no2)c(=O)c2ccccc21,c1(Cl)cccc(-c2nc(on2)-c2c(=O)c3ccccc3n(CC)c2)c1,c1ccc2c(c(c(cn2CC)-c2onc(n2)-c2cc(ccc2)Cl)=O)c1,CCn1cc(-c2nc(-c3cccc(Cl)c3)no2)c(=O)c2ccccc21,CCN1C=C(C2=NC(C3=CC=CC(Cl)=C3)=NO2)C(=O)C2=CC=CC=C21,[CH3][CH2][n]1[cH][c](-[c]2[n][c](-[c]3[cH][cH][cH][c]([Cl])[cH]3)[n][o]2)[c](=[O])[c]2[cH][cH][cH][cH][c]21,CCn1cc-c2nc-c3ccccClc3no2c=Oc2ccccc12,CCn1cc(-c2nc(-c3cccc(Cl)c3)no2)c(=O)c2ccccc21
"COC[C@@H](C)NC(=O)C(=O)Nc1cc(-c2ccccc2)nn1C(C)C
",2.2206,0.789116831727,2.80281584555754,COC[C@@H](C)NC(=O)C(=O)Nc1cc(-c2ccccc2)nn1C(C)C,c1ccc(cc1)-c1cc(NC(=O)C(=O)N[C@@H](COC)C)n(C(C)C)n1,C(C(=O)Nc1cc(-c2ccccc2)nn1C(C)C)(=O)N[C@H](C)COC,COCC(C)NC(=O)C(=O)Nc1cc(-c2ccccc2)nn1C(C)C,COC[C@@H](C)NC(=O)C(=O)NC1=CC(C2=CC=CC=C2)=NN1C(C)C,[CH3][O][CH2][C@@H]([CH3])[NH][C](=[O])[C](=[O])[NH][c]1[cH][c](-[c]2[cH][cH][cH][cH][cH]2)[n][n]1[CH]([CH3])[CH3],COC[C@@H]CNC=OC=ONc1cc-c2ccccc2nn1CCC,COC[C@@H](C)NC(=O)C(=O)Nc1cc(-c2ccccc2)nn1C(C)C
"C#CCOc1ccccc1CN1CCN(C2=[NH+]C[C@@H](C)S2)CC1
",0.3881,0.826760969956,3.7446290666256825,C#CCOc1ccccc1CN1CCN(C2=[NH+]C[C@@H](C)S2)CC1,C(N1CCN(C2S[C@H](C)C[NH+]=2)CC1)c1ccccc1OCC#C,c1cc(CN2CCN(C3=[NH+]C[C@@H](C)S3)CC2)c(OCC#C)cc1,C#CCOc1ccccc1CN1CCN(C2=[NH+]CC(C)S2)CC1,C#CCOC1=CC=CC=C1CN1CCN(C2=[NH+]C[C@@H](C)S2)CC1,[CH]#[C][CH2][O][c]1[cH][cH][cH][cH][c]1[CH2][N]1[CH2][CH2][N]([C]2=[NH+][CH2][C@@H]([CH3])[S]2)[CH2][CH2]1,C#CCOc1ccccc1CN1CCNC2=[NH+]C[C@@H]CS2CC1,C#CCOc1ccccc1CN1CCN(C2=[NH+]C[C@@H](C)S2)CC1
"COCCNC(=O)[C@H]1CCCN1S(=O)(=O)c1ccc(Br)cc1
",1.3648,0.75165875121,2.444911674007754,COCCNC(=O)[C@H]1CCCN1S(=O)(=O)c1ccc(Br)cc1,c1c(ccc(c1)S(=O)(N1[C@H](CCC1)C(NCCOC)=O)=O)Br,O=S(N1CCC[C@@H]1C(=O)NCCOC)(c1ccc(Br)cc1)=O,COCCNC(=O)C1CCCN1S(=O)(=O)c1ccc(Br)cc1,COCCNC(=O)[C@H]1CCCN1S(=O)(=O)C1=CC=C(Br)C=C1,[CH3][O][CH2][CH2][NH][C](=[O])[C@H]1[CH2][CH2][CH2][N]1[S](=[O])(=[O])[c]1[cH][cH][c]([Br])[cH][cH]1,COCCNC=O[C@H]1CCCN1S=O=Oc1cccBrcc1,COCCNC(=O)[C@H]1CCCN1S(=O)(=O)c1ccc(Br)cc1
"Cc1ccc(C[C@H](O)c2c(F)cc(Br)cc2F)cc1
",4.31182,0.853642515658,2.525588996692397,Cc1ccc(C[C@H](O)c2c(F)cc(Br)cc2F)cc1,Fc1cc(cc(c1[C@@H](O)Cc1ccc(C)cc1)F)Br,Fc1cc(Br)cc(c1[C@H](Cc1ccc(C)cc1)O)F,Cc1ccc(CC(O)c2c(F)cc(Br)cc2F)cc1,CC1=CC=C(C[C@H](O)C2=C(F)C=C(Br)C=C2F)C=C1,[CH3][c]1[cH][cH][c]([CH2][C@H]([OH])[c]2[c]([F])[cH][c]([Br])[cH][c]2[F])[cH][cH]1,Cc1cccC[C@H]Oc2cFccBrcc2Fcc1,Cc1ccc(C[C@H](O)c2c(F)cc(Br)cc2F)cc1
"COC(=O)[C@@]1(NC2CCCC2)CCCS[C@H]1C
",2.3459,0.7885241824770001,3.7299498576062415,COC(=O)[C@@]1(NC2CCCC2)CCCS[C@H]1C,O(C(=O)[C@@]1(NC2CCCC2)CCCS[C@H]1C)C,[C@H]1(SCCC[C@@]1(C(OC)=O)NC1CCCC1)C,COC(=O)C1(NC2CCCC2)CCCSC1C,COC(=O)[C@@]1(NC2CCCC2)CCCS[C@H]1C,[CH3][O][C](=[O])[C@@]1([NH][CH]2[CH2][CH2][CH2][CH2]2)[CH2][CH2][CH2][S][C@H]1[CH3],COC=O[C@@]1NC2CCCC2CCCS[C@H]1C,COC(=O)[C@@]1(NC2CCCC2)CCCS[C@H]1C
"CCC[NH2+][C@H](Cc1ccccc1)[C@@H]1CN(CC)CCO1
",1.2918,0.8229071456129999,3.890538593703543,CCC[NH2+][C@H](Cc1ccccc1)[C@@H]1CN(CC)CCO1,c1cc(ccc1)C[C@@H]([NH2+]CCC)[C@H]1OCCN(C1)CC,C(C)C[NH2+][C@H](Cc1ccccc1)[C@@H]1CN(CCO1)CC,CCC[NH2+]C(Cc1ccccc1)C1CN(CC)CCO1,CCC[NH2+][C@H](CC1=CC=CC=C1)[C@@H]1CN(CC)CCO1,[CH3][CH2][CH2][NH2+][C@H]([CH2][c]1[cH][cH][cH][cH][cH]1)[C@@H]1[CH2][N]([CH2][CH3])[CH2][CH2][O]1,CCC[NH2+][C@H]Cc1ccccc1[C@@H]1CNCCCCO1,CCC[NH2+][C@H](Cc1ccccc1)[C@@H]1CN(CC)CCO1
"C=CCn1c(=O)c2c(nc3n2[C@H](C)C(C)=NN3C)n(C)c1=O
",0.4694,0.771149707401,3.504362542838841,C=CCn1c(=O)c2c(nc3n2[C@H](C)C(C)=NN3C)n(C)c1=O,c12n([C@H](C)C(=NN2C)C)c2c(n1)n(c(n(CC=C)c2=O)=O)C,N1(c2n([C@H](C)C(C)=N1)c1c(n(CC=C)c(n(c1n2)C)=O)=O)C,C=CCn1c(=O)c2c(nc3n2C(C)C(C)=NN3C)n(C)c1=O,C=CCN1C(=O)C2=C(N=C3N(C)N=C(C)[C@@H](C)N32)N(C)C1=O,[CH2]=[CH][CH2][n]1[c](=[O])[c]2[c]([n][c]3[n]2[C@H]([CH3])[C]([CH3])=[N][N]3[CH3])[n]([CH3])[c]1=[O],C=CCn1c=Oc2cnc3n2[C@H]CCC=NN3CnCc1=O,C=CCn1c(=O)c2c(nc3n2[C@H](C)C(C)=NN3C)n(C)c1=O
"C[C@H]1CCCC[C@H]1NC(=O)c1cc(S(=O)(=O)N2CCOCC2)ccc1Cl
",2.6694,0.839236180894,2.8194249886223943,C[C@H]1CCCC[C@H]1NC(=O)c1cc(S(=O)(=O)N2CCOCC2)ccc1Cl,N1(CCOCC1)S(c1ccc(Cl)c(c1)C(N[C@@H]1CCCC[C@@H]1C)=O)(=O)=O,O=S(=O)(N1CCOCC1)c1ccc(c(c1)C(N[C@@H]1CCCC[C@@H]1C)=O)Cl,CC1CCCCC1NC(=O)c1cc(S(=O)(=O)N2CCOCC2)ccc1Cl,C[C@H]1CCCC[C@H]1NC(=O)C1=CC(S(=O)(=O)N2CCOCC2)=CC=C1Cl,[CH3][C@H]1[CH2][CH2][CH2][CH2][C@H]1[NH][C](=[O])[c]1[cH][c]([S](=[O])(=[O])[N]2[CH2][CH2][O][CH2][CH2]2)[cH][cH][c]1[Cl],C[C@H]1CCCC[C@H]1NC=Oc1ccS=O=ON2CCOCC2ccc1Cl,C[C@H]1CCCC[C@H]1NC(=O)c1cc(S(=O)(=O)N2CCOCC2)ccc1Cl
"COCCn1ccc2ccc(NC(=O)NCCc3ccccn3)cc21
",3.0469,0.6877047159020001,2.2016735754811734,COCCn1ccc2ccc(NC(=O)NCCc3ccccn3)cc21,C(Nc1ccc2c(n(cc2)CCOC)c1)(=O)NCCc1ncccc1,N(C(NCCc1ccccn1)=O)c1ccc2ccn(c2c1)CCOC,COCCn1ccc2ccc(NC(=O)NCCc3ccccn3)cc21,COCCN1C=CC2=CC=C(NC(=O)NCCC3=CC=CC=N3)C=C21,[CH3][O][CH2][CH2][n]1[cH][cH][c]2[cH][cH][c]([NH][C](=[O])[NH][CH2][CH2][c]3[cH][cH][cH][cH][n]3)[cH][c]21,COCCn1ccc2cccNC=ONCCc3ccccn3cc12,COCCn1ccc2ccc(NC(=O)NCCc3ccccn3)cc21
"Cc1nc(CNC(=O)C(=O)Nc2cc(Cl)ccc2Cl)no1
",1.93972,0.84375711037,2.235174124410948,Cc1nc(CNC(=O)C(=O)Nc2cc(Cl)ccc2Cl)no1,Clc1ccc(cc1NC(=O)C(NCc1noc(n1)C)=O)Cl,Clc1ccc(Cl)cc1NC(C(=O)NCc1noc(C)n1)=O,Cc1nc(CNC(=O)C(=O)Nc2cc(Cl)ccc2Cl)no1,CC1=NC(CNC(=O)C(=O)NC2=CC(Cl)=CC=C2Cl)=NO1,[CH3][c]1[n][c]([CH2][NH][C](=[O])[C](=[O])[NH][c]2[cH][c]([Cl])[cH][cH][c]2[Cl])[n][o]1,Cc1ncCNC=OC=ONc2ccClccc2Clno1,Cc1nc(CNC(=O)C(=O)Nc2cc(Cl)ccc2Cl)no1
"CS[C@@H]1CC[C@H](NC(=O)CCC(=O)c2ccc(C)s2)C1
",3.41972,0.8021670370909999,3.2865663788494306,CS[C@@H]1CC[C@H](NC(=O)CCC(=O)c2ccc(C)s2)C1,Cc1sc(cc1)C(=O)CCC(N[C@@H]1C[C@@H](CC1)SC)=O,c1cc(sc1C(CCC(N[C@@H]1C[C@@H](CC1)SC)=O)=O)C,CSC1CCC(NC(=O)CCC(=O)c2ccc(C)s2)C1,CS[C@@H]1CC[C@H](NC(=O)CCC(=O)C2=CC=C(C)S2)C1,[CH3][S][C@@H]1[CH2][CH2][C@H]([NH][C](=[O])[CH2][CH2][C](=[O])[c]2[cH][cH][c]([CH3])[s]2)[CH2]1,CS[C@@H]1CC[C@H]NC=OCCC=Oc2cccCs2C1,CS[C@@H]1CC[C@H](NC(=O)CCC(=O)c2ccc(C)s2)C1
"Cc1nc(/C=N/Nc2ccc(Cl)nn2)c[nH]1
",1.60752,0.6323674721,3.292742455281441,Cc1nc(/C=N/Nc2ccc(Cl)nn2)c[nH]1,Clc1ccc(N/N=C/c2nc([nH]c2)C)nn1,n1nc(ccc1N/N=C/c1nc([nH]c1)C)Cl,Cc1nc(C=NNc2ccc(Cl)nn2)c[nH]1,CC1=NC(/C=N/NC2=CC=C(Cl)N=N2)=CN1,[CH3][c]1[n][c](/[CH]=[N]/[NH][c]2[cH][cH][c]([Cl])[n][n]2)[cH][nH]1,Cc1nc/C=N/Nc2cccClnn2c[nH]1,Cc1nc(/C=N/Nc2ccc(Cl)nn2)c[nH]1
